symptom_id	sentence_text	bdisen_symptom	severity	label	source
1	I'm really conflicted about this.	Indecision	1	1	bdisen
1	i have no idea what to do.	Indecision	2	1	bdisen
1	I dont know what to do either.	Indecision	2	1	bdisen
1	I dont know what to do.	Indecision	2	1	bdisen
1	I dont even know what to do with myself.	Indecision	2	1	bdisen
1	I do not know what to do with myself, and my anxiety is heightened with mild depression.	Indecision	2	1	bdisen
1	I barely know what to do anymore.	Indecision	2	1	bdisen
1	It makes no sense, and it gets in the way of the plans i make.	Indecision	3	1	bdisen
1	I'm sorry I don't have alot of helpful things to say, still trying to figure things out for myself too.	Indecision	3	1	bdisen
1	I don't really have a lot of advice, don't have all this figured out for myself, sorry.	Indecision	3	1	bdisen
1	It's actually a fantastic decision I made, and I'm really happy I'm doing it.	Indecision	3	1	bdisen
1	I know that it's really hard to do but making up your mind is honestly most of the battle.	Indecision	3	1	bdisen
1	I think it will be hard to say it so calmly, but I won't know until I try.	Indecision	3	1	bdisen
2	I'm really conflicted about this.	Indecision	1	1	bdisen
2	i have no idea what to do.	Indecision	2	1	bdisen
2	I dont know what to do either.	Indecision	2	1	bdisen
2	I dont know what to do.	Indecision	2	1	bdisen
2	I dont even know what to do with myself.	Indecision	2	1	bdisen
2	I do not know what to do with myself, and my anxiety is heightened with mild depression.	Indecision	2	1	bdisen
2	I barely know what to do anymore.	Indecision	2	1	bdisen
2	It makes no sense, and it gets in the way of the plans i make.	Indecision	3	1	bdisen
2	I'm sorry I don't have alot of helpful things to say, still trying to figure things out for myself too.	Indecision	3	1	bdisen
2	I don't really have a lot of advice, don't have all this figured out for myself, sorry.	Indecision	3	1	bdisen
2	It's actually a fantastic decision I made, and I'm really happy I'm doing it.	Indecision	3	1	bdisen
2	I know that it's really hard to do but making up your mind is honestly most of the battle.	Indecision	3	1	bdisen
2	I think it will be hard to say it so calmly, but I won't know until I try.	Indecision	3	1	bdisen
4	All I do is eat, sleep, and look at my phone because thats all I have the energy to do.	Loss_of_energy	2	1	bdisen
4	i burnt out and i still am unmotivated and feeling like shit.	Loss_of_energy	2	1	bdisen
4	I'm so tired, and being tired only makes it worse.	Loss_of_energy	2	1	bdisen
