docno	pre	text	post
5FX8Wi_305_2	Touchdown.	I never even thought of going to Foxboro and running 100 yards from 11 Super mutants and turning around to spike a mini nuke in their faces.	Jesus god the hype.
b1ayp8_83_2	Tested and it works fine for all situations.	I'd say go with that.	
QZdHvI_304_0		Developer, and usually I play while waiting for things to load/compile because my stuff is slow enough that it takes minutes.	Just enough time to load up some Zelda and explore a little bit.
ddhxPI_29_0		So, i'm rewatching buffy, and was wondering if anyone knows which episode it is where buffy is running over the rooftops while the buildings are collapsing ?	I think it was a season finale ?
TUM3wB_599_5	I try to only get my carbs from veggies and fruits, but I do have rice every day (brown, multi-grain of course).	Carbs are my weakness but atleast they don't make me break out!	
h6etl6_144_0		This is, by far, my favorite thing to tell my friends about this game.	
HIzoc5_126_2	She is a very shy rabbit and does not explore much, unlike my other rabbit.	Every time I wipe down the cage floor or slide my hand towards her she attacks my hand.	She does not do this when I reach out and pet her.
fXwkPM_45_1	See, this gives me a lot to think of.	I'm not adopted, but my son is.	His bio-mom was on drugs, 16 and had a rough life.
woagy1_59_0		My first 2 packs I ever bought... I'll never forget that day.	Computer search in the 1st pack and a Charizard in the 2nd.
dRqts8_511_2	I played with it when I got home last night, and everything is working great.	"I have a Roku 3 in my living room set as the default player, but was able to initiate commands to other rooms by saying ""Alexa, tell Plex to play Reservoir Dogs on my [Roku Stick]...[iPhone]...[PlayStation 4]"" Pretty impressive."	
NqRoXm_433_2	Well done with ketchup.	I can't stand Barack Obama but I bet he knows not to eat a steak well done and then kill it with ketchup.	
6SZ9cj_88_2	It does look sort of fun.	My acne is mild as well so this product might work well for me.	
weTf2T_207_0		We want to make our lord and savior MaryJ acceptable in the eyes of the masses, but I see this as a tiny step backward,	
3HGS13_170_1	Local laws prohibit them on ANY public property.	So, I always yank 'em during elections whenever I see them on public land.	It's great for shooting AND it pisses the people who put them there off.
YkSgMM_292_3	Sure.	I don't see a problem with consensually acting out sexual fantasies.	&gt;People dont care about consent if you cross a line with someone who is 1 foot out of the relationship style.
gr20Wq_553_8	I'm deleting all of it.	That's the fourth time today one of you has twisted and bastardized my own thoughts and opinions to suit your own.	You guys are just too much.
HkQAFU_226_1	Thats actually a really good Idea.	I think they could make it like the same way they did it with the Stats bar.	
etBLvk_435_0		I once was able to lick my dick, it wasn't that great, had to sort of ouch my dick up and force my head down with my other hand.	Wouldn't recommend.
20s5O3_436_9	Taking serious inquiries only.	I have a Nin leveled as well with a genji weapon and I will eventually learn the class but am not good enough to call it an alt spec yet.	I am looking for a group that: - has 01-04 on farm - enjoys optimizing and speedrunning competitively - is confident in their ability to tackle super savage in the future - has a good time doing the above
GIO9uS_485_0		I can put myself in your position if I read 'get busy' with the tone you took it as having.	You're imagining an intention which I did not have, however.
